State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Autumn,28.281,999.22,0.606,-0.846,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Kharif,28.468,1454.7,0.983,-1.085,Drier than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Rabi,28.078,490.41,0.395,-0.439,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Summer,29.587,541.31,1.379,-0.686,Hotter than normal,prophet,prophet,27,ok
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Whole Year,28.568,1950.05,0.835,-1.457,Drier than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Andaman And Nicobar Islands,Winter,27.843,288.97,0.153,-0.327,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Nicobar,Autumn,28.173,892.31,1.685,0.239,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Nicobar,Kharif,28.528,1023.17,1.679,0.144,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Nicobar,Rabi,28.269,836.42,1.314,-0.138,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Nicobar,Summer,29.475,533.74,1.342,-0.106,Hotter than normal,prophet,prophet,27,ok
Andaman And Nicobar Islands,Nicobar,Whole Year,28.565,1873.3,1.175,-0.233,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,Nicobar,Winter,28.127,520.6,1.142,-0.222,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,North And Middle Andaman,Autumn,28.039,1082.97,0.786,-0.453,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,North And Middle Andaman,Kharif,28.243,1707.99,1.205,-0.455,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,North And Middle Andaman,Rabi,27.753,507.62,0.604,-0.302,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,North And Middle Andaman,Summer,29.494,552.64,1.074,-0.769,Hotter than normal,prophet,prophet,27,ok
Andaman And Nicobar Islands,North And Middle Andaman,Whole Year,28.366,2264.64,0.965,-0.756,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,North And Middle Andaman,Winter,27.44,294.16,0.359,-0.244,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,South Andaman,Autumn,28.163,996.55,0.765,0.121,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,South Andaman,Kharif,28.378,1335.76,1.001,-0.449,Hotter than normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,South Andaman,Rabi,27.962,637.57,0.337,0.014,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,South Andaman,Summer,29.473,526.1,1.173,-0.586,Hotter than normal,prophet,prophet,27,ok
Andaman And Nicobar Islands,South Andaman,Whole Year,28.46,1967.28,0.727,-0.508,Normal,prophet,prophet,26,ok
Andaman And Nicobar Islands,South Andaman,Winter,27.768,387.7,0.202,-0.144,Normal,prophet,prophet,26,ok
Andhra Pradesh,Anantapur,Autumn,25.463,399.41,-0.089,0.137,Normal,prophet,prophet,26,ok
Andhra Pradesh,Anantapur,Kharif,26.531,524.77,0.005,0.098,Normal,prophet,prophet,26,ok
Andhra Pradesh,Anantapur,Rabi,25.194,195.6,0.023,0.11,Normal,prophet,prophet,26,ok
Andhra Pradesh,Anantapur,Summer,29.799,268.06,-0.696,0.84,Normal,prophet,prophet,27,ok
Andhra Pradesh,Anantapur,Whole Year,26.678,731.75,-0.347,0.249,Normal,prophet,prophet,26,ok
