Nitrogen,Phosphorus,Potassium,OC,pH,Crop
200.6,39.9,136,0.86,6.1,Rice
243.3,36.6,146.3,0.89,6.2,Rice
224.8,39,155.2,0.92,6.1,Rice
289.7,44.3,141.8,1.13,6,Rice
236.3,42,138.8,1.02,5.6,Rice
194.9,26.4,108.2,0.83,5.9,Rice
203.9,32.9,132.9,0.88,6.1,Rice
230,30.9,137.3,0.94,6,Rice
182.1,29.1,110.9,0.89,6.2,Rice
252.1,39.9,146.1,0.94,5.9,Rice
220.3,28.6,141.4,0.88,5.9,Rice
328,46,195.3,1.3,5.7,Rice
193.1,32,96.3,0.75,5.8,Rice
308,48.8,157.6,1.39,6,Rice
211.6,40.1,135.7,0.86,6.3,Rice
250,30.5,112.8,0.92,5.4,Rice
263.2,40.2,140.6,0.98,5.7,Rice
182.2,35.1,131.3,0.8,5.8,Rice
269.2,47.6,151.6,1.09,5.7,Rice
281.3,40.6,140.6,1.17,5.9,Rice
326,42,140.6,1.04,6.6,Rice
316.4,43.8,161.7,1.17,5.7,Rice
261.4,43.9,134.7,1.03,5.6,Rice
307.7,44.8,138.2,1.21,6.4,Rice
258.2,33.5,108.3,1.12,5.9,Rice
310.9,51.7,152.8,1.22,5.8,Rice
244.7,40,130.8,1,6,Rice
203.5,32,117.2,0.93,5.7,Rice
263.7,45,158.2,1.17,5.4,Rice
185.4,26.2,114.7,0.72,5.6,Rice
271.2,41.5,131.8,1.12,6.2,Rice
250.8,35.9,165,0.99,5.6,Rice
316,44.6,179.1,1.3,6.6,Rice
264.8,41.7,135,1.07,5.8,Rice
190.8,38.4,94.9,0.78,5.9,Rice
313.9,46.2,167.5,1.31,6.2,Rice
304.7,43.5,167.6,1.28,5.7,Rice
239.3,36.9,128.6,1.04,5.7,Rice
191,27.5,130.1,0.81,5.8,Rice
224.1,36.9,146.4,1.07,5.9,Rice
236.5,36.4,137.5,1.14,6.2,Rice
263.9,43.6,155.5,1.06,6,Rice
282.4,40.8,133.6,1.09,5.7,Rice
292.4,49.5,166.7,1.13,6.2,Rice
203.1,24.9,130.3,0.73,5.7,Rice
285,45.2,126.3,1.23,6,Rice
246.9,34.8,138.7,0.99,5.7,Rice
260.8,43.5,147.1,1,6.3,Rice
200.2,40.2,134,0.92,6.2,Rice
264.4,37.5,125.1,1.14,5.5,Rice
293,42.6,159.6,1.19,6.6,Rice
323.8,49.1,141.8,1.23,6.1,Rice
187.7,30.1,113.7,0.93,6.2,Rice
303.4,36.1,144.4,1.26,5.6,Rice
358.8,45.2,164.3,1.25,6.4,Rice
265.5,39.8,130.5,1.04,6.1,Rice
190.5,26.3,120.9,0.93,5.3,Rice
215,30.7,134,0.85,6.3,Rice
201.2,28,127.9,0.84,6.5,Rice
208.4,32.2,101.7,0.78,6.2,Rice
224,32.2,134.3,0.97,5.6,Rice
316.9,48.3,177.1,1.38,6.4,Rice
272.8,29.4,122.1,1.09,5.3,Rice
193.6,34.3,120.3,0.77,5.7,Rice
244.9,41.2,137.1,0.98,5.7,Rice
293.5,42.6,142.9,1.16,6.4,Rice
303.2,46.4,146.7,1.16,6.3,Rice
178,29.4,92.7,0.7,5.7,Rice
253.1,40.4,146,0.98,5.8,Rice
255.5,33.6,126,0.94,6,Rice
290.3,44.7,157.2,1.12,6.4,Rice
354.9,44.2,149.7,1.22,6.3,Rice
213.2,40,126.3,1.04,5.6,Rice
224.5,31.5,137.4,0.83,6.5,Rice
218.7,31.2,121,0.88,6.2,Rice
228.1,36.8,124.6,1.02,6.2,Rice
263.4,37.6,147.9,0.97,5.7,Rice
261.4,44.5,130.6,0.82,5.9,Rice
252.3,38.5,156.3,1.04,6.2,Rice
281.9,38.8,153,1.16,6.8,Rice
282.4,44.6,156.4,1.29,6.1,Rice
274.5,36.1,139.4,1.03,5.8,Rice
339.6,51.9,175.5,1.16,6,Rice
244,37.5,123.2,0.96,6.1,Rice
262.8,45.7,154,1.07,5.8,Rice
272.3,44.6,144.1,1.05,6.1,Rice
189.3,26.3,100.6,0.74,6.1,Rice
321.5,47.1,153.5,1.2,5.7,Rice
175.5,38.6,122.1,0.94,6,Rice
237.8,33.4,161.9,1.06,6.3,Rice
169.5,28.8,115.2,0.87,6,Rice
168.9,30.9,122.4,0.77,5.8,Rice
256.1,40,123.6,1.02,6.3,Rice
332.8,49.6,187.3,1.28,6.2,Rice
260.8,38.7,128.4,0.92,5.5,Rice
240.5,37.9,159.5,0.97,5.5,Rice
236.4,41.9,136.8,1.01,5.8,Rice
187.3,27.2,103.7,0.7,5.5,Rice
209.6,37.5,114.4,0.76,5.9,Rice
215.4,37.1,136.5,0.93,5.8,Rice
396,52.4,170.2,1.32,5.9,Rice
156.5,20,93.8,0.6,6.3,Rice
189.8,30.3,101.1,0.83,6.4,Rice
250.6,47.8,161,1.15,5.5,Rice
252.8,42.3,128.1,0.95,5.9,Rice
259.3,36.2,161.1,0.98,5.8,Rice
307.4,44,178.6,1.19,6.3,Rice
220.4,31.9,93,0.68,6.2,Rice
315.1,42.7,172.3,1.09,6.5,Rice
171.7,27.3,142.8,0.82,5.2,Rice
199,31.1,132.6,0.7,5.7,Rice
379,56.1,172.1,1.25,6.1,Rice
300.9,45.5,150.3,1.17,5.5,Rice
222.8,34.1,132.7,1.02,6,Rice
259.2,38.5,158.5,0.93,6.2,Rice
285.9,41.4,105.9,1.12,6.6,Rice
264.6,42.6,141.3,0.92,6,Rice
272.4,34.6,152.6,1.05,6.2,Rice
361.6,51.6,177.9,1.38,5.8,Rice
176.3,23.9,92.9,0.69,5.6,Rice
309.9,38.7,157.4,1.1,6.6,Rice
294.3,41.5,159.7,1.32,6.2,Rice
246.6,41.8,125.1,0.97,6,Rice
358.9,52.1,178.7,1.29,5.8,Rice
163.3,29.3,91.4,0.67,5.8,Rice
218.7,28.6,131.7,0.86,5.1,Rice
376.4,52.6,200,1.36,6.4,Rice
188.5,38.5,124.8,0.66,5.9,Rice
161.5,22.1,97.2,0.67,6.8,Rice
302.7,42.9,155.4,1.1,5.5,Rice
311,49.2,171.1,1.16,6.2,Rice
341.4,47.9,173.7,1.09,6.2,Rice
125.5,24.3,80,0.52,5.8,Rice
342.3,46.8,150,1.33,5.7,Rice
243.8,41.1,144,0.93,5.9,Rice
280.5,37.6,155,1.03,5.5,Rice
251.1,36.2,148.5,0.91,5.4,Rice
357.5,52.4,168.7,1.32,5.8,Rice
351.7,48.8,158.5,1.31,6,Rice
115.8,21.4,102.8,0.72,6.4,Rice
280,40.4,161.7,1.08,5.9,Rice
168,34.5,104.8,0.85,6.8,Rice
170.5,28.3,120.8,0.61,5.9,Rice
218.5,35.9,147,1.07,6.2,Rice
247.6,45.5,124.7,1.09,5.9,Rice
231.9,33.5,130.4,1,6.5,Rice
207.2,35.3,114.8,0.92,6.1,Rice
220.6,35.1,114.4,0.93,6.4,Rice
112.8,25.5,111.7,0.62,6.8,Rice
113.3,27,94.3,0.63,6.1,Rice
237,30.1,131.9,0.93,5.3,Rice
220.5,46.7,159.5,1.08,6,Rice
149.8,25.2,115.6,0.76,6.1,Rice
155.9,27.2,112.2,0.62,5.4,Rice
207.3,37.3,129.3,0.94,5.8,Rice
269.5,34.9,162,1.1,6.3,Rice
233.8,36.4,122.3,1,5.9,Rice
113.9,20,90.2,0.5,5.6,Rice
202.5,33.3,117,0.72,5.9,Rice
210.9,34.9,124.6,0.98,5.3,Rice
295.8,46.2,129.4,1.15,5.5,Rice
264,39.8,138.6,1.13,5.7,Rice
165.2,30.2,121.7,0.78,6.1,Rice
260.2,40,152.5,1.11,5.7,Rice
297.8,47.4,193.5,1.29,6.4,Rice
181.2,33.3,123.4,0.72,5.9,Rice
286.5,40.1,163.6,1.1,5.7,Rice
370,54,200,1.36,6.3,Rice
219.9,31.3,145,0.88,5.1,Rice
268.2,39.9,137.5,1.16,5.9,Rice
151,20.6,109.8,0.59,5.1,Rice
346.9,57.5,200,1.29,6.2,Rice
233.7,33.2,140.1,0.89,6,Rice
183.5,30,122.5,0.84,6.2,Rice
255.5,35.3,125.9,1.03,6.4,Rice
288.4,43.9,160.4,1.14,6.1,Rice
219,33.2,128.2,0.84,5.4,Rice
208.9,33.2,116.6,0.79,6,Rice
199.7,31.1,137.2,0.81,5.9,Rice
150.4,27,96.2,0.76,5.5,Rice
314,52.9,157.3,1.26,6,Rice
199.4,34.3,127.2,0.77,5.4,Rice
161.1,32,118,0.8,6.1,Rice
303,41.9,152.3,1.19,5.9,Rice
229.3,38.1,132.3,1.03,6.5,Rice
245.2,36.2,166.7,0.96,5.7,Rice
297.5,36,144,1.14,5.4,Rice
354.7,50.7,193.7,1.44,6.9,Rice
198.5,33.6,114.9,0.71,5.9,Rice
100,21.4,81,0.59,6.2,Rice
400,53.3,186.9,1.5,5.7,Rice
278,46.6,147.8,1.15,6.2,Rice
268.1,42.3,149.9,1.02,6.5,Rice
251.3,31.8,143.1,0.93,5.6,Rice
229.6,28.5,123.3,0.99,5.1,Rice
190.1,31.3,114.2,0.76,5.5,Rice
364.8,45.8,200,1.5,6.6,Rice
128.9,23.4,99.9,0.78,6.1,Rice
268,36.3,141.8,1.1,5.8,Rice
201.4,30.2,129.3,0.77,6.4,Rice
289.2,39.6,125.3,0.92,6.6,Rice
121.8,20,106.8,0.61,6.6,Rice
279.8,42.4,167.7,1.13,6.3,Rice
174.9,27,124.1,0.83,5.6,Rice
254.3,42,138.2,1.04,6.2,Rice
299.7,46.4,170.7,1.21,6.6,Rice
286,43.1,153.1,1.12,5.6,Rice
276.2,46.1,185.2,1.21,6.2,Rice
255,35.8,140.1,1.07,6.5,Rice
343.7,55.9,144.6,1.27,6,Rice
292.6,42.8,168.1,1.25,6.1,Rice
183.6,34.3,105.7,0.78,6.4,Rice
237.2,41.9,143.1,0.84,5.6,Rice
228.3,36.6,125.8,0.79,6,Rice
301.9,49.3,183.3,1.15,6.1,Rice
274.4,36.9,136.6,1.11,6.4,Rice
369.4,53.6,190.5,1.5,6.4,Rice
355,57.7,161.8,1.36,5.5,Rice
146.3,20.8,120.3,0.68,6.4,Rice
208,31.4,113.9,0.9,6.1,Rice
177,20,102.8,0.62,6.9,Rice
231.8,36,120.7,0.98,6.3,Rice
241.2,38.7,125.4,1.03,6,Rice
142.6,20,80,0.53,6.1,Rice
203.4,23.7,117.8,0.83,6.4,Rice
286.6,37.9,155.7,0.9,5.7,Rice
255,34.5,136.8,0.88,6.3,Rice
120.9,24.6,119.6,0.55,6,Rice
351.1,54.6,199.9,1.26,6.5,Rice
374,46.9,190.3,1.26,5.8,Rice
217.7,39.1,151.1,1.12,6.1,Rice
208.3,29.8,139.8,0.76,5.5,Rice
309.8,40.6,142.9,1.1,5.6,Rice
307.7,35.3,145.5,1.07,6.7,Rice
237.1,39.2,115.5,0.92,6,Rice
315.7,38.1,131,1.24,6.4,Rice
268.6,35.1,136.6,1,6.1,Rice
180.9,28.9,131.6,0.88,5.6,Rice
307.3,46.1,154.2,1.45,5.2,Rice
192.2,32.9,98.6,0.64,5.7,Rice
295.6,40.6,149.3,1.13,5.7,Rice
157.1,27.1,101.7,0.8,5.6,Rice
346,53.8,181.9,1.48,5.1,Rice
207.1,34.8,123.1,0.89,6.2,Rice
149.3,28.5,81.8,0.52,6.6,Rice
287.3,39.1,153,1.06,6.1,Rice
141,21.2,121.3,0.64,5.4,Rice
211.8,30.4,117.4,0.87,6.3,Rice
282.1,45.9,145.1,1,6,Rice
208.9,42.6,159.8,0.82,5.9,Rice
198.2,29.2,121.4,0.74,6.7,Rice
137.7,26.6,129.6,0.66,6.2,Rice
326.2,49.8,155,1.3,6,Rice
141,30.5,105.5,0.66,5.7,Rice
330.7,52.1,169.7,1.22,5.9,Rice
354.3,53.3,200,1.36,5.6,Rice
284.1,48.4,156.5,1.26,5.7,Rice
198.5,26.6,122.9,0.71,6.2,Rice
161,30.1,114.9,0.71,6.4,Rice
293.5,45.5,151.3,1.17,5.5,Rice
251.8,37.8,154.8,1.08,6,Rice
278.2,43.5,149.7,1.32,6,Rice
319,44.2,156.5,1.2,5.8,Rice
