Crop,T_Avg_p05,T_Avg_p95,R_Total_p05,R_Total_p95
Arecanut,19.098423395999998,27.743212692,162.98,2978.759
Arhar,21.2760193105,30.952831076,144.328,1630.4799999999987
Bajra,23.772582792,31.97266817,106.202,1289.4639999999997
Banana,21.347520590000002,31.736791665,169.42,2578.885
Barley,8.2119021631,26.623599788499998,8.56,789.3974999999988
Black Pepper,20.0534383,27.786929121,508.77500000000003,3227.634000000001
Cardamom,22.24024486,27.5296859975,648.5274999999999,3357.7425000000003
Cashewnut,23.006143513999998,28.570902152,490.824,3010.37
Castor Seed,22.802204944,30.97594796,189.376,1602.165
Cereals,5.943158279800001,29.453286454,7.554,1652.1859999999992
Coconut,22.879713366,28.221172175,568.2995,2867.11
Coriander,19.104200802500003,27.5680328405,33.457,1583.2514999999999
Cotton,23.7357123675,31.8719371,217.7775,1619.655
Cowpea,20.5656242925,28.6926956955,65.25950000000002,1641.0399999999988
Dry Chillies,18.541600464,29.878684304,147.046,2210.159999999999
Garlic,13.63432917,27.296427828,44.766000000000005,1592.852
Ginger,14.754849373999999,28.272430109,571.093,2676.52
Gram,16.9865508635,25.7336950455,8.0515,412.01699999999977
Groundnut,21.743416993500002,31.89355043,80.36250000000001,1478.81
Guar Seed,25.266885407,31.314431613,266.895,1246.3805
Horse Gram,19.4948300725,29.1666478525,40.63,1479.49
Jowar,22.94554608,30.98325161,44.25,1437.51
Jute,23.719987958,28.9408610745,713.4335,1860.0354999999997
Kharif Pulse,17.0652310725,30.325144300999998,328.162,1780.2319999999997
Khesari,19.420878151,23.389987608,20.37,318.221
Linseed,16.229641609,24.71778175,10.753,325.033
Maize,19.06838095,31.917923117,49.84,1511.8899999999992
Masoor,14.404827498,23.080718416,11.68,372.3159999999999
Mesta,23.641430104999998,29.341959782999997,643.285,1735.65
Millet,16.1887357015,29.880105268999998,95.8805,1684.0665
Moong,19.90436982,32.469004729999995,50.078,1392.9879999999998
Moth,16.896267093,32.879642575999995,171.206,1138.0359999999998
Mustard,12.6480449685,24.749920266499995,8.56,393.06949999999955
Niger Seed,22.276476006,28.2915614005,299.37050000000005,1773.1449999999995
Oilseed,8.62887148955,28.3157777395,5.518,2289.4535
Onion,18.058157554,32.05123118,31.749500000000005,1780.97
Pea,8.97843958,25.09135484,12.283999999999999,859.03
Potato,12.3521002975,27.06191891,24.5475,2030.75
Rabi Pulse,15.01397899,25.676739940999997,10.023000000000003,399.23
Ragi,20.195490542,29.5693639825,113.76650000000001,1672.1745
Rice,17.35755632,31.495479277499996,28.726000000000003,1460.317499999999
Safflower,20.66069108,25.985542308,28.220000000000002,328.2859999999999
Sannhamp,24.69715815,30.49047957,436.31,1552.95
Sesamum,20.866182404,31.405902045,63.996,1636.555
Soyabean,20.9472288145,29.924841402499997,438.14250000000004,1660.72
Sugarcane,20.16927074,29.9166124735,287.49750000000006,2280.7739999999994
Sunflower,20.30949116,32.03248387,49.5135,1435.6390000000004
Sweet Potato,22.76682482,30.130242475,423.0265,2401.3659999999986
Tapioca,21.535919743,28.239611488,632.496,2943.407999999998
Tobacco,19.499545821,28.970204089,33.287,2313.15
Turmeric,18.28649397,27.941604482,157.02800000000008,2609.936999999998
Urad,19.18015134,31.9406694075,58.30500000000001,1471.0674999999994
Wheat,10.989655914000005,25.343874322,8.56,338.9340000000002
